construct,lexicon,n_kept,omnibus_T,omnibus_p_raw,cohens_d,p_holm_across_constructs
emotion,"feel, emotion, feeling, fear",215,0.1481990943570771,0.0001999600079984,5.32,0.0031993601279744
mind_thinking,"think, mind, thought, understand",215,0.1394634543190446,0.0001999600079984,5.21,0.0031993601279744
friendship_relationships,"friend, relationship, loneliness",215,0.1409511946381807,0.0001999600079984,4.99,0.0031993601279744
communication,"talk, conversation, word, language",215,0.1319809724624766,0.0001999600079984,4.95,0.0031993601279744
routine_control,"routine, order, control, rule",215,0.2333410579121445,0.0001999600079984,4.9,0.0031993601279744
self_identity,"self, identity, personality, character",211,0.1720145372534008,0.0001999600079984,4.85,0.0031993601279744
family,"family, mother, father, home",215,0.1208837355210183,0.0001999600079984,4.73,0.0031993601279744
growing_up_difficulties,"difficulty, struggle, difficult, cope, hard",215,0.1802732463298608,0.0001999600079984,4.67,0.0031993601279744
senses_body,"sound, noise, touch, light, sense",215,0.1735791393953827,0.0001999600079984,4.55,0.0031993601279744
difference_normalcy,"different, normal, unusual, unique",215,0.21652714437005,0.0001999600079984,4.5,0.0031993601279744
special_interests,"interest, hobby, passion, collect, obsess",212,0.1686185376109198,0.0001999600079984,4.43,0.0031993601279744
childhood_memory,"childhood, memory, child",215,0.1921242930197841,0.0001999600079984,4.35,0.0031993601279744
work_achievement,"work, career, success, job",215,0.2752123378803414,0.0001999600079984,4.17,0.0031993601279744
gender,"gender, woman, man, female, male",215,0.1445934440501934,0.0001999600079984,4.11,0.0031993601279744
adjustment,"adjust, adapt, cope, accommodate, fit",213,0.2148355015454125,0.0001999600079984,3.87,0.0031993601279744
sexuality,"sexuality, sexual, attraction, romance, dating",166,0.2076210157491385,0.0001999600079984,2.84,0.0031993601279744
